epoch,custom_mean_io_u_1,loss,val_custom_mean_io_u_1,val_loss
0,0.2733464241027832,4.640568256378174,0.5654915571212769,1.1339479684829712
1,0.6008725762367249,0.8044340014457703,0.5949928164482117,0.6851305365562439
2,0.7216110229492188,0.5545039772987366,0.7606261372566223,0.4865843653678894
3,0.7831583023071289,0.42557549476623535,0.8000385165214539,0.35742634534835815
4,0.8103032112121582,0.2696022391319275,0.80942302942276,0.19723071157932281
5,0.8174648284912109,0.1739557832479477,0.8114771246910095,0.16755610704421997
6,0.8234198689460754,0.15614493191242218,0.8160581588745117,0.15943126380443573
7,0.8269698619842529,0.14775244891643524,0.8179709315299988,0.15530821681022644
8,0.82930588722229,0.14587202668190002,0.8227183222770691,0.1474197506904602
9,0.824406623840332,0.14840483665466309,0.82948237657547,0.15082935988903046
10,0.831575334072113,0.14036568999290466,0.8328642845153809,0.14858810603618622
11,0.8389575481414795,0.13621799647808075,0.8392913937568665,0.13661830127239227
12,0.8453212380409241,0.1273779422044754,0.8419917225837708,0.13457930088043213
13,0.8501761555671692,0.12336591631174088,0.8430109024047852,0.1293278932571411
14,0.8529479503631592,0.11996447294950485,0.8465685844421387,0.12714333832263947
15,0.8559648394584656,0.11788160353899002,0.8482828140258789,0.12478300929069519
16,0.8600789904594421,0.11525727808475494,0.8478670120239258,0.12473465502262115
17,0.8571741580963135,0.11755497008562088,0.8398184180259705,0.13228459656238556
18,0.8570263385772705,0.11930756270885468,0.8430542945861816,0.12795613706111908
19,0.8642066121101379,0.11043480038642883,0.857119619846344,0.11951234936714172
20,0.8624442219734192,0.11240090429782867,0.858051598072052,0.11720698326826096
21,0.8656246066093445,0.11003497987985611,0.8544716835021973,0.11860238015651703
22,0.868273913860321,0.10917510092258453,0.8612368106842041,0.11276761442422867
23,0.870330810546875,0.10608567297458649,0.8640788197517395,0.110405832529068
24,0.8731067776679993,0.10352182388305664,0.851291835308075,0.11959561705589294
25,0.8711695671081543,0.10506750643253326,0.8606532216072083,0.11236739158630371
26,0.8703193664550781,0.10813835263252258,0.8536093831062317,0.11684326082468033
27,0.8732635974884033,0.1042238250374794,0.8665494322776794,0.1066945418715477
28,0.876445472240448,0.10015872865915298,0.871959388256073,0.10563330352306366
29,0.8812045454978943,0.09747754782438278,0.8739364743232727,0.1022050529718399
30,0.8827154040336609,0.09484662860631943,0.8682669997215271,0.11233941465616226
31,0.8712594509124756,0.10762624442577362,0.8706481456756592,0.10702982544898987
32,0.880396842956543,0.09884625673294067,0.8784665465354919,0.10159585624933243
33,0.8832957148551941,0.09509750455617905,0.8745864033699036,0.10071001946926117
34,0.8859058022499084,0.09350330382585526,0.876268208026886,0.09922824054956436
35,0.8864540457725525,0.09270129352807999,0.8786069750785828,0.09755212813615799
36,0.8884612917900085,0.09153908491134644,0.8816900253295898,0.09764734655618668
37,0.8840813636779785,0.09489963948726654,0.8741301894187927,0.1003158763051033
38,0.8850486874580383,0.09426076710224152,0.8666941523551941,0.10598825663328171
39,0.8891243934631348,0.09131985902786255,0.8765352368354797,0.0990505963563919
40,0.8888223767280579,0.09159435331821442,0.8807506561279297,0.09768135100603104
41,0.887579619884491,0.09232047945261002,0.8710762858390808,0.10457373410463333
42,0.8898352980613708,0.08921900391578674,0.8866388201713562,0.09339485317468643
43,0.8922357559204102,0.08842626959085464,0.8777831196784973,0.10511519759893417
44,0.8919523358345032,0.08939629793167114,0.8817448616027832,0.09795796871185303
45,0.8913819193840027,0.0891001746058464,0.8822639584541321,0.09433480352163315
46,0.8934995532035828,0.08564699441194534,0.8810045123100281,0.09371762722730637
47,0.8942745327949524,0.08597718179225922,0.8826215267181396,0.09477891027927399
48,0.89256352186203,0.08858658373355865,0.8865310549736023,0.09018489718437195
49,0.8962839245796204,0.08487974852323532,0.8885518908500671,0.08960587531328201
