epoch,custom_mean_io_u_1,loss,val_custom_mean_io_u_1,val_loss
0,0.41088590025901794,2.82270884513855,0.5716055035591125,0.6781423687934875
1,0.6664712429046631,0.42703327536582947,0.6712750792503357,0.23668262362480164
2,0.7440380454063416,0.2204974740743637,0.7432851195335388,0.2070034146308899
3,0.7690593600273132,0.19579999148845673,0.7783673405647278,0.18441544473171234
4,0.7854169011116028,0.1776868999004364,0.7930172085762024,0.16878445446491241
5,0.7937746644020081,0.16801655292510986,0.7965638041496277,0.16621020436286926
6,0.7976787686347961,0.16193179786205292,0.7901649475097656,0.1613602340221405
7,0.7989920973777771,0.16754458844661713,0.8018152117729187,0.16595707833766937
8,0.7962226867675781,0.15855669975280762,0.8149515986442566,0.14996065199375153
9,0.8072669506072998,0.15323421359062195,0.8076550364494324,0.15578797459602356
10,0.8055634498596191,0.15804584324359894,0.8282849192619324,0.14116120338439941
11,0.8228382468223572,0.14120785892009735,0.8307592868804932,0.14202070236206055
12,0.8243748545646667,0.1402146816253662,0.8336251378059387,0.1373998522758484
13,0.8239715695381165,0.14762437343597412,0.7852716445922852,0.17753076553344727
14,0.8183736205101013,0.15011616051197052,0.8308188319206238,0.13775888085365295
15,0.81761234998703,0.15004752576351166,0.7940877079963684,0.16676808893680573
16,0.8231873512268066,0.15398600697517395,0.8220036029815674,0.13971643149852753
17,0.8270180821418762,0.1407235860824585,0.831470251083374,0.13913604617118835
18,0.8311941623687744,0.13691504299640656,0.8407915234565735,0.13457807898521423
19,0.833292543888092,0.13388729095458984,0.8285959362983704,0.13634860515594482
20,0.8308231234550476,0.13513493537902832,0.8233590126037598,0.15086804330348969
21,0.7982327342033386,0.18478690087795258,0.8115552067756653,0.16638562083244324
22,0.809849739074707,0.15187259018421173,0.8339431881904602,0.15646539628505707
23,0.8191477656364441,0.1531137079000473,0.8038094639778137,0.1623586118221283
24,0.821774959564209,0.14766353368759155,0.827820360660553,0.137343168258667
25,0.8301730155944824,0.13750982284545898,0.8330548405647278,0.1348821520805359
26,0.8299715518951416,0.13632196187973022,0.8415092825889587,0.13195553421974182
27,0.8334688544273376,0.13485322892665863,0.8330621123313904,0.1351466178894043
28,0.8352753520011902,0.13135407865047455,0.841136634349823,0.12863405048847198
29,0.8377545475959778,0.12979228794574738,0.8410975933074951,0.13163453340530396
30,0.8380718231201172,0.13049539923667908,0.8317039608955383,0.1390189528465271
31,0.8307345509529114,0.13773700594902039,0.8214961886405945,0.15356257557868958
32,0.8233868479728699,0.14346960186958313,0.8376390933990479,0.13015621900558472
33,0.8425410389900208,0.128290057182312,0.8439009785652161,0.12907996773719788
34,0.8377993106842041,0.13255316019058228,0.8186243176460266,0.14272461831569672
35,0.8296585083007812,0.14051371812820435,0.8385929465293884,0.13319897651672363
36,0.835662305355072,0.13651111721992493,0.8324807286262512,0.13460181653499603
37,0.7866731286048889,0.18292531371116638,0.8027328848838806,0.18122191727161407
38,0.7932374477386475,0.17458128929138184,0.7862827777862549,0.18968236446380615
