epoch,custom_mean_io_u,loss,val_custom_mean_io_u,val_loss
0,0.14912109076976776,9.090109825134277,0.2235237956047058,5.16325569152832
1,0.3904874324798584,2.200678586959839,0.5796343088150024,0.9033924341201782
2,0.6682330965995789,0.6652443408966064,0.7325647473335266,0.455671101808548
3,0.7537840008735657,0.4157469868659973,0.7655084729194641,0.3680447041988373
4,0.8046194911003113,0.27566346526145935,0.7949811816215515,0.27242130041122437
5,0.8254758715629578,0.21883462369441986,0.8209174275398254,0.22020679712295532
6,0.8332061767578125,0.19536398351192474,0.8222994804382324,0.20495934784412384
7,0.8370857834815979,0.18218138813972473,0.8068692088127136,0.21277524530887604
8,0.8378084301948547,0.17353960871696472,0.8270821571350098,0.19186145067214966
9,0.8275327086448669,0.18244890868663788,0.8212172985076904,0.18795156478881836
10,0.8342201709747314,0.17262907326221466,0.8216404914855957,0.20050066709518433
11,0.8452456593513489,0.1640929877758026,0.8154473304748535,0.18841996788978577
12,0.8477742075920105,0.15162377059459686,0.8304060101509094,0.1658911406993866
13,0.8487988114356995,0.14654670655727386,0.8403914570808411,0.15606939792633057
14,0.8396873474121094,0.15872636437416077,0.8432887196540833,0.15520884096622467
15,0.8425662517547607,0.15606097877025604,0.8407156467437744,0.15738484263420105
16,0.8291396498680115,0.16583387553691864,0.7958709597587585,0.21467134356498718
17,0.8431899547576904,0.15372297167778015,0.8390220999717712,0.16108296811580658
18,0.8487016558647156,0.14234775304794312,0.8286994099617004,0.15979443490505219
19,0.8461900353431702,0.14340852200984955,0.8441472053527832,0.14465269446372986
20,0.8579998016357422,0.1308385133743286,0.8375902771949768,0.1491856426000595
21,0.8595938682556152,0.12639346718788147,0.8456416726112366,0.14701823890209198
22,0.8600214123725891,0.12354718893766403,0.8490367531776428,0.13721899688243866
23,0.8504190444946289,0.13281342387199402,0.8408969044685364,0.15312331914901733
24,0.8541441559791565,0.13064904510974884,0.8242084980010986,0.1637146919965744
25,0.8560413718223572,0.13032390177249908,0.8378596901893616,0.16436949372291565
26,0.8497977256774902,0.14080563187599182,0.837679386138916,0.14630086719989777
27,0.8472760319709778,0.14021480083465576,0.8506584167480469,0.13819493353366852
28,0.857191264629364,0.13030439615249634,0.8238017559051514,0.1639849692583084
29,0.845902144908905,0.14296603202819824,0.8450334668159485,0.14303037524223328
30,0.8473767638206482,0.14263209700584412,0.8310489058494568,0.16646374762058258
31,0.8592857718467712,0.12737977504730225,0.8523862361907959,0.13209113478660583
32,0.8657221794128418,0.11696767061948776,0.8214184641838074,0.17117939889431
33,0.8561577796936035,0.12698636949062347,0.8543521761894226,0.13251061737537384
34,0.8667308688163757,0.1154952347278595,0.8527460098266602,0.12931229174137115
35,0.8675432801246643,0.11269228160381317,0.8562281131744385,0.13277631998062134
36,0.8713760375976562,0.11236275732517242,0.8583911061286926,0.12321113049983978
37,0.8710282444953918,0.10837728530168533,0.8610103726387024,0.12359626591205597
38,0.8723044991493225,0.10907919704914093,0.8567624688148499,0.12298241257667542
39,0.873640239238739,0.10689452290534973,0.8617668747901917,0.11967097967863083
40,0.8767800331115723,0.10372873395681381,0.8599369525909424,0.12937039136886597
41,0.8717227578163147,0.10844559967517853,0.8493453860282898,0.14075571298599243
42,0.8600519299507141,0.1227126494050026,0.8324963450431824,0.1468602865934372
43,0.8581066131591797,0.12788303196430206,0.85748291015625,0.12784719467163086
44,0.8694764971733093,0.11069110780954361,0.8639154434204102,0.1163034662604332
45,0.8715985417366028,0.11038053780794144,0.860734224319458,0.12470324337482452
46,0.8725719451904297,0.11051144450902939,0.8494762778282166,0.134811669588089
47,0.8580536842346191,0.1279766708612442,0.8629071712493896,0.12057358771562576
48,0.8733579516410828,0.10759622603654861,0.8635590672492981,0.11815033853054047
49,0.8786831498146057,0.10115467011928558,0.8654418587684631,0.11801298707723618
